2022-23 season:,Tue Oct 25 2022,at LA,"Los Angeles 4, Tampa Bay 2  ",,,
2022-23 season:,Tue Oct 25 2022,at SJ,"Vegas 4, San Jose 2  ",,,
2022-23 season:,Wed Oct 26 2022,at StL,"Edmonton 3, St Louis 1  ",,,
2022-23 season:,Wed Oct 26 2022,at NYI,"NY Islanders 3, NY Rangers 0  ",,,
2022-23 season:,Wed Oct 26 2022,at Ana,"Tampa Bay 4, Anaheim 2  ",,,
2022-23 season:,Thu Oct 27 2022,at Bos,"Boston 5, Detroit 1  ",,,
2022-23 season:,Thu Oct 27 2022,at Chi,"Edmonton 6, Chicago 5  ",,,
2022-23 season:,Thu Oct 27 2022,at Phi,"Philadelphia 4, Florida 3  ",,,
2022-23 season:,Thu Oct 27 2022,at Ott,"Minnesota 4, Ottawa 2  ",,,
2022-23 season:,Thu Oct 27 2022,at Buf,"Montreal 3, Buffalo 2  ",,,
2022-23 season:,Thu Oct 27 2022,at Nsh,"Nashville 6, St Louis 2  ",,,
2022-23 season:,Thu Oct 27 2022,at SJ,"San Jose 4, Toronto 3 (OT)",,,
2022-23 season:,Thu Oct 27 2022,at Sea,"Vancouver 5, Seattle 4  ",,,
2022-23 season:,Thu Oct 27 2022,at LA,"Winnipeg 6, Los Angeles 4  ",,,
2022-23 season:,Thu Oct 27 2022,at Dal,"Dallas 2, Washington 0  ",,,
2022-23 season:,Fri Oct 28 2022,at VGK,"Vegas 4, Anaheim 0  ",,,
2022-23 season:,Fri Oct 28 2022,at Cbs,"Boston 4, Columbus 0  ",,,
2022-23 season:,Fri Oct 28 2022,at NJ,"New Jersey 1, Colorado 0  ",,,
2022-23 season:,Fri Oct 28 2022,at Car,"NY Islanders 6, Carolina 2  ",,,
2022-23 season:,Fri Oct 28 2022,at Van,"Vancouver 5, Pittsburgh 1  ",,,
2022-23 season:,Fri Oct 28 2022,at Ari,"Winnipeg 3, Arizona 2 (OT)",,,
2022-23 season:,Sat Oct 29 2022,at Phi,"Carolina 4, Philadelphia 3 (OT)",,,
2022-23 season:,Sat Oct 29 2022,at Buf,"Buffalo 4, Chicago 3 (OT)",,,
2022-23 season:,Sat Oct 29 2022,at NYI,"NY Islanders 5, Colorado 4  ",,,
2022-23 season:,Sat Oct 29 2022,at Cgy,"Edmonton 3, Calgary 2  ",,,
2022-23 season:,Sat Oct 29 2022,at Det,"Detroit 2, Minnesota 1  ",,,
2022-23 season:,Sat Oct 29 2022,at StL,"Montreal 7, St Louis 4  ",,,
2022-23 season:,Sat Oct 29 2022,at Dal,"NY Rangers 6, Dallas 3  ",,,
2022-23 season:,Sat Oct 29 2022,at Fla,"Florida 5, Ottawa 3  ",,,
2022-23 season:,Sat Oct 29 2022,at Sea,"Seattle 3, Pittsburgh 1  ",,,
2022-23 season:,Sat Oct 29 2022,at SJ,"Tampa Bay 4, San Jose 3  ",,,
2022-23 season:,Sat Oct 29 2022,at LA,"Los Angeles 4, Toronto 2  ",,,
2022-23 season:,Sat Oct 29 2022,at Nsh,"Washington 3, Nashville 0  ",,,
2022-23 season:,Sun Oct 30 2022,at NJ,"New Jersey 7, Columbus 1  ",,,
2022-23 season:,Sun Oct 30 2022,at Chi,"Minnesota 4, Chicago 3 (SO)",,,
2022-23 season:,Sun Oct 30 2022,at Ari,"NY Rangers 3, Arizona 2  ",,,
2022-23 season:,Sun Oct 30 2022,at Ana,"Anaheim 4, Toronto 3 (OT)",,,
2022-23 season:,Sun Oct 30 2022,at VGK,"Vegas 2, Winnipeg 1 (OT)",,,
2022-23 season:,Mon Oct 31 2022,at Buf,"Buffalo 8, Detroit 3  ",,,
2022-23 season:,Mon Oct 31 2022,at StL,"Los Angeles 5, St Louis 1  ",,,
2022-23 season:,Mon Oct 31 2022,at Car,"Carolina 3, Washington 2 (SO)",,,
2022-23 season:,Tue Nov 1 2022,at SJ,"Anaheim 6, San Jose 5 (SO)",,,
2022-23 season:,Tue Nov 1 2022,at Pit,"Boston 6, Pittsburgh 5 (OT)",,,
2022-23 season:,Tue Nov 1 2022,at Ari,"Arizona 3, Florida 1  ",,,
2022-23 season:,Tue Nov 1 2022,at Dal,"Dallas 5, Los Angeles 2  ",,,
2022-23 season:,Tue Nov 1 2022,at Min,"Minnesota 4, Montreal 1  ",,,
2022-23 season:,Tue Nov 1 2022,at Van,"New Jersey 5, Vancouver 2  ",,,
2022-23 season:,Tue Nov 1 2022,at Chi,"NY Islanders 3, Chicago 1  ",,,
2022-23 season:,Tue Nov 1 2022,at Edm,"Edmonton 7, Nashville 4  ",,,
2022-23 season:,Tue Nov 1 2022,at TB,"Tampa Bay 4, Ottawa 3  ",,,
2022-23 season:,Tue Nov 1 2022,at NYR,"NY Rangers 1, Philadelphia 0 (OT)",,,
2022-23 season:,Tue Nov 1 2022,at Cgy,"Seattle 5, Calgary 4  ",,,
2022-23 season:,Tue Nov 1 2022,at Wsh,"Vegas 3, Washington 2 (OT)",,,
2022-23 season:,Wed Nov 2 2022,at Tor,"Toronto 5, Philadelphia 2  ",,,
2022-23 season:,Wed Nov 2 2022,at Buf,"Buffalo 6, Pittsburgh 3  ",,,
2022-23 season:,Thu Nov 3 2022,at Van,"Vancouver 8, Anaheim 5  ",,,
2022-23 season:,Thu Nov 3 2022,at NYR,"Boston 5, NY Rangers 2  ",,,
2022-23 season:,Thu Nov 3 2022,at TB,"Carolina 4, Tampa Bay 3 (SO)",,,
2022-23 season:,Thu Nov 3 2022,at Ari,"Dallas 7, Arizona 2  ",,,
2022-23 season:,Thu Nov 3 2022,at SJ,"Florida 4, San Jose 3 (SO)",,,
2022-23 season:,Thu Nov 3 2022,at Chi,"Chicago 2, Los Angeles 1 (OT)",,,
2022-23 season:,Thu Nov 3 2022,at Wpg,"Winnipeg 3, Montreal 2 (OT)",,,
2022-23 season:,Thu Nov 3 2022,at Edm,"New Jersey 4, Edmonton 3  ",,,
2022-23 season:,Thu Nov 3 2022,at StL,"NY Islanders 5, St Louis 2  ",,,
2022-23 season:,Thu Nov 3 2022,at Cgy,"Nashville 4, Calgary 1  ",,,
2022-23 season:,Thu Nov 3 2022,at Min,"Seattle 4, Minnesota 0  ",,,
2022-23 season:,Thu Nov 3 2022,at Ott,"Vegas 5, Ottawa 4  ",,,
2022-23 season:,Thu Nov 3 2022,at Det,"Detroit 3, Washington 1  ",,,
2022-23 season:,Fri Nov 4 2022,at Car,"Carolina 5, Buffalo 3  ",,,
2022-23 season:,Fri Nov 4 2022,at Col,"Colorado 6, Columbus 3  ",,,
2022-23 season:,Sat Nov 5 2022,at SJ,"Anaheim 5, San Jose 4 (SO)",,,
2022-23 season:,Sat Nov 5 2022,at Wsh,"Arizona 3, Washington 2  ",,,
2022-23 season:,Sat Nov 5 2022,at Tor,"Toronto 2, Boston 1  ",,,
2022-23 season:,Sat Nov 5 2022,at TB,"Tampa Bay 5, Buffalo 3  ",,,
2022-23 season:,Sat Nov 5 2022,at Cbs,"Colorado 5, Columbus 1  ",,,
2022-23 season:,Sat Nov 5 2022,at Wpg,"Winnipeg 4, Chicago 0  ",,,
2022-23 season:,Sat Nov 5 2022,at Edm,"Dallas 6, Edmonton 2  ",,,
2022-23 season:,Sat Nov 5 2022,at LA,"Los Angeles 5, Florida 4  ",,,
2022-23 season:,Sat Nov 5 2022,at Cgy,"New Jersey 4, Calgary 3 (OT)",,,
2022-23 season:,Sat Nov 5 2022,at Det,"Detroit 3, NY Islanders 0  ",,,
2022-23 season:,Sat Nov 5 2022,at Van,"Nashville 4, Vancouver 3 (SO)",,,
2022-23 season:,Sat Nov 5 2022,at Ott,"Philadelphia 2, Ottawa 1  ",,,
2022-23 season:,Sat Nov 5 2022,at Pit,"Seattle 3, Pittsburgh 2  ",,,
2022-23 season:,Sat Nov 5 2022,at Mtl,"Vegas 6, Montreal 4  ",,,
2022-23 season:,Sun Nov 6 2022,at NYR,"Detroit 3, NY Rangers 2 (OT)",,,
2022-23 season:,Sun Nov 6 2022,at Ana,"Florida 5, Anaheim 3  ",,,
2022-23 season:,Sun Nov 6 2022,at Car,"Toronto 3, Carolina 1  ",,,
2022-23 season:,Mon Nov 7 2022,at NYI,"NY Islanders 4, Calgary 3 (OT)",,,
2022-23 season:,Mon Nov 7 2022,at Wsh,"Washington 5, Edmonton 4  ",,,
2022-23 season:,Mon Nov 7 2022,at Bos,"Boston 3, St Louis 1  ",,,
2022-23 season:,Tue Nov 8 2022,at Buf,"Arizona 4, Buffalo 1  ",,,
2022-23 season:,Tue Nov 8 2022,at NJ,"New Jersey 3, Calgary 2  ",,,
2022-23 season:,Tue Nov 8 2022,at Wpg,"Winnipeg 5, Dallas 1  ",,,
2022-23 season:,Tue Nov 8 2022,at TB,"Edmonton 3, Tampa Bay 2  ",,,
2022-23 season:,Tue Nov 8 2022,at LA,"Los Angeles 1, Minnesota 0  ",,,
2022-23 season:,Tue Nov 8 2022,at Det,"Montreal 3, Detroit 2 (SO)",,,
2022-23 season:,Tue Nov 8 2022,at NYR,"NY Islanders 4, NY Rangers 3  ",,,
2022-23 season:,Tue Nov 8 2022,at Sea,"Seattle 5, Nashville 1  ",,,
2022-23 season:,Tue Nov 8 2022,at Phi,"Philadelphia 5, St Louis 1  ",,,
2022-23 season:,Tue Nov 8 2022,at Ott,"Vancouver 6, Ottawa 4  ",,,
2022-23 season:,Tue Nov 8 2022,at Tor,"Vegas 4, Toronto 3 (OT)",,,
2022-23 season:,Wed Nov 9 2022,at Fla,"Florida 3, Carolina 0  ",,,
2022-23 season:,Wed Nov 9 2022,at Ana,"Minnesota 4, Anaheim 1  ",,,
2022-23 season:,Wed Nov 9 2022,at Wsh,"Pittsburgh 4, Washington 1  ",,,
2022-23 season:,Wed Nov 9 2022,at Mtl,"Montreal 5, Vancouver 2  ",,,
2022-23 season:,Thu Nov 10 2022,at NYI,"Arizona 2, NY Islanders 0  ",,,
2022-23 season:,Thu Nov 10 2022,at Bos,"Boston 3, Calgary 1  ",,,
2022-23 season:,Thu Nov 10 2022,at LA,"Los Angeles 2, Chicago 1 (OT)",,,
2022-23 season:,Thu Nov 10 2022,at Car,"Carolina 7, Edmonton 2  ",,,
2022-23 season:,Thu Nov 10 2022,at Det,"NY Rangers 8, Detroit 2  ",,,
2022-23 season:,Thu Nov 10 2022,at Col,"Colorado 5, Nashville 3  ",,,
2022-23 season:,Thu Nov 10 2022,at NJ,"New Jersey 4, Ottawa 3 (OT)",,,
2022-23 season:,Thu Nov 10 2022,at Cbs,"Columbus 5, Philadelphia 2  ",,,
2022-23 season:,Thu Nov 10 2022,at StL,"St Louis 5, San Jose 3  ",,,
2022-23 season:,Thu Nov 10 2022,at Buf,"Vegas 7, Buffalo 4  ",,,
2022-23 season:,Fri Nov 11 2022,at Sea,"Minnesota 1, Seattle 0  ",,,
2022-23 season:,Fri Nov 11 2022,at Tor,"Pittsburgh 4, Toronto 2  ",,,
2022-23 season:,Fri Nov 11 2022,at Dal,"San Jose 5, Dallas 4  ",,,
2022-23 season:,Fri Nov 11 2022,at Wsh,"Washington 5, Tampa Bay 1  ",,,
2022-23 season:,Sat Nov 12 2022,at NJ,"New Jersey 4, Arizona 2  ",,,
2022-23 season:,Sat Nov 12 2022,at Buf,"Boston 3, Buffalo 1  ",,,
2022-23 season:,Sat Nov 12 2022,at Col,"Colorado 4, Carolina 1  ",,,
2022-23 season:,Sat Nov 12 2022,at NYI,"NY Islanders 4, Columbus 3 (OT)",,,
2022-23 season:,Sat Nov 12 2022,at Ana,"Chicago 3, Anaheim 2  ",,,
2022-23 season:,Sat Nov 12 2022,at LA,"Los Angeles 4, Detroit 3  ",,,
2022-23 season:,Sat Nov 12 2022,at Fla,"Edmonton 4, Florida 2  ",,,
2022-23 season:,Sat Nov 12 2022,at Nsh,"Nashville 2, NY Rangers 1  ",,,
2022-23 season:,Sat Nov 12 2022,at Phi,"Ottawa 4, Philadelphia 1  ",,,
2022-23 season:,Sat Nov 12 2022,at Mtl,"Montreal 5, Pittsburgh 4 (OT)",,,
2022-23 season:,Sat Nov 12 2022,at VGK,"St Louis 3, Vegas 2  ",,,
2022-23 season:,Sat Nov 12 2022,at Tor,"Toronto 3, Vancouver 2  ",,,
2022-23 season:,Sat Nov 12 2022,at Cgy,"Calgary 3, Winnipeg 2  ",,,
2022-23 season:,Sun Nov 13 2022,at NYR,"NY Rangers 4, Arizona 1  ",,,
2022-23 season:,Sun Nov 13 2022,at Phi,"Dallas 5, Philadelphia 1  ",,,
2022-23 season:,Sun Nov 13 2022,at Min,"San Jose 3, Minnesota 2 (SO)",,,
2022-23 season:,Sun Nov 13 2022,at Bos,"Boston 5, Vancouver 2  ",,,
2022-23 season:,Sun Nov 13 2022,at Sea,"Winnipeg 3, Seattle 2 (OT)",,,
2022-23 season:,Sun Nov 13 2022,at TB,"Tampa Bay 6, Washington 3  ",,,
2022-23 season:,Mon Nov 14 2022,at Chi,"Carolina 3, Chicago 0  ",,,
2022-23 season:,Mon Nov 14 2022,at Cgy,"Calgary 6, Los Angeles 5  ",,,
2022-23 season:,Mon Nov 14 2022,at Ott,"NY Islanders 4, Ottawa 2  ",,,
2022-23 season:,Mon Nov 14 2022,at Col,"St Louis 3, Colorado 2  ",,,
2022-23 season:,Tue Nov 15 2022,at TB,"Tampa Bay 5, Dallas 4 (OT)",,,
2022-23 season:,Tue Nov 15 2022,at Ana,"Anaheim 3, Detroit 2 (OT)",,,
2022-23 season:,Tue Nov 15 2022,at Nsh,"Nashville 2, Minnesota 1  ",,,
2022-23 season:,Tue Nov 15 2022,at Mtl,"New Jersey 5, Montreal 1  ",,,
2022-23 season:,Tue Nov 15 2022,at Cbs,"Columbus 5, Philadelphia 4 (OT)",,,
2022-23 season:,Tue Nov 15 2022,at VGK,"San Jose 5, Vegas 2  ",,,
2022-23 season:,Tue Nov 15 2022,at Pit,"Toronto 5, Pittsburgh 2  ",,,
2022-23 season:,Tue Nov 15 2022,at Buf,"Vancouver 5, Buffalo 4  ",,,
2022-23 season:,Tue Nov 15 2022,at Fla,"Florida 5, Washington 2  ",,,
2022-23 season:,Wed Nov 16 2022,at Ott,"Ottawa 4, Buffalo 1  ",,,
2022-23 season:,Wed Nov 16 2022,at Edm,"Los Angeles 3, Edmonton 1  ",,,
2022-23 season:,Wed Nov 16 2022,at Chi,"St Louis 5, Chicago 2  ",,,
2022-23 season:,Thu Nov 17 2022,at Wpg,"Winnipeg 3, Anaheim 2  ",,,
2022-23 season:,Thu Nov 17 2022,at VGK,"Vegas 4, Arizona 1  ",,,
2022-23 season:,Thu Nov 17 2022,at TB,"Tampa Bay 4, Calgary 1  ",,,
2022-23 season:,Thu Nov 17 2022,at Car,"Colorado 3, Carolina 2 (OT)",,,
2022-23 season:,Thu Nov 17 2022,at Fla,"Dallas 6, Florida 4  ",,,
2022-23 season:,Thu Nov 17 2022,at SJ,"Detroit 7, San Jose 4  ",,,
2022-23 season:,Thu Nov 17 2022,at Cbs,"Columbus 6, Montreal 4  ",,,
2022-23 season:,Thu Nov 17 2022,at Tor,"New Jersey 3, Toronto 2 (OT)",,,
2022-23 season:,Thu Nov 17 2022,at Nsh,"Nashville 5, NY Islanders 4  ",,,
2022-23 season:,Thu Nov 17 2022,at Sea,"Seattle 3, NY Rangers 2 (OT)",,,
